exp_id,seed,accuracy,mean_latent,mean_switches,timeouts,failures,total_time,kl_drift,cosine_drift,status
A3.1,42,84.0,13.12,2.7,0,0,400.07992362976074,,,success
A3.1,43,84.0,13.12,2.7,0,0,399.43221378326416,,,success
A3.1,44,84.0,13.12,2.7,0,0,399.4895832538605,,,success
A3.2,42,80.0,3.12,0.08,0,0,392.83373379707336,5.426551554810433,0.3920535572166481,success
A3.2,43,80.0,3.12,0.08,0,0,392.7978937625885,5.426551554810433,0.3920535572166481,success
A3.2,44,80.0,3.12,0.08,0,0,392.792777299881,5.426551554810433,0.3920535572166481,success
A3.3,42,80.0,3.24,0.1,0,0,398.42459511756897,5.471688030498368,0.39814263433076086,success
A3.3,43,80.0,3.24,0.1,0,0,398.4082176685333,5.471688030498368,0.39814263433076086,success
A3.3,44,80.0,3.24,0.1,0,0,398.4053764343262,5.471688030498368,0.39814263433076086,success
A3.4,42,78.0,3.36,0.12,0,0,391.61057686805725,5.48040225945011,0.3968295114229596,success
A3.4,43,78.0,3.36,0.12,0,0,391.6079978942871,5.48040225945011,0.3968295114229596,success
A3.4,44,78.0,3.36,0.12,0,0,391.6383616924286,5.48040225945011,0.3968295114229596,success
A3.5,42,78.0,3.2,0.1,0,0,389.6107883453369,5.383955616665265,0.3924099526604017,success
A3.5,43,78.0,3.2,0.1,0,0,389.63913798332214,5.383955616665265,0.3924099526604017,success
A3.5,44,78.0,3.2,0.1,0,0,389.61127161979675,5.383955616665265,0.3924099526604017,success
